1 1 2 0 2  3  
1 1 2 0 4  5  
1 1 2 0 6  7  
1 1 2 0 8  9  
1 1 2 0 10  11  
1 1 2 0 12  13  
1 1 2 0 14  15  
1 1 2 0 16  4  
1 1 2 0 17  8  
1 1 2 0 18  12  
1 1 2 0 19  16  
1 1 2 0 20  18  
1 1 2 0 21  20  
1 1 2 0 22  23  
1 1 2 0 24  25  
1 1 2 0 26  27  
1 1 2 0 28  29  
1 1 2 0 30  31  
1 1 2 0 32  33  
1 1 2 0 34  35  
1 1 2 0 36  24  
1 1 2 0 37  28  
1 1 2 0 38  32  
1 1 2 0 39  36  
1 1 2 0 40  38  
1 1 2 0 41  40  
1 1 2 0 42  43  
1 1 2 0 44  45  
1 1 2 0 46  47  
1 1 2 0 48  49  
1 1 2 0 50  51  
1 1 2 0 52  53  
1 1 2 0 54  55  
1 1 2 0 56  44  
1 1 2 0 57  48  
1 1 2 0 58  52  
1 1 2 0 59  56  
1 1 2 0 60  58  
1 1 2 0 61  60  
1 81 1 0 28  
1 82 1 0 28  
1 80 1 0 30  
1 81 1 0 30  
1 82 1 0 30  
1 83 1 0 30  
1 80 1 0 32  
1 81 1 0 32  
1 82 1 0 32  
1 83 1 0 32  
1 84 1 0 32  
1 80 1 0 34  
1 81 1 0 34  
1 82 1 0 34  
1 83 1 0 34  
1 84 1 0 34  
1 85 1 0 34  
1 80 1 0 36  
1 81 1 0 36  
1 82 1 0 36  
1 83 1 0 36  
1 84 1 0 36  
1 85 1 0 36  
1 86 1 0 36  
1 80 1 0 37  
1 81 1 0 37  
1 82 1 0 37  
1 83 1 0 37  
1 84 1 0 37  
1 85 1 0 37  
1 86 1 0 37  
1 87 1 0 37  
1 80 1 0 38  
1 81 1 0 38  
1 82 1 0 38  
1 83 1 0 38  
1 84 1 0 38  
1 85 1 0 38  
1 86 1 0 38  
1 87 1 0 38  
1 88 1 0 38  
1 80 1 0 39  
1 81 1 0 39  
1 82 1 0 39  
1 83 1 0 39  
1 84 1 0 39  
1 85 1 0 39  
1 86 1 0 39  
1 87 1 0 39  
1 88 1 0 39  
1 89 1 0 39  
1 80 1 0 40  
1 81 1 0 40  
1 82 1 0 40  
1 83 1 0 40  
1 84 1 0 40  
1 85 1 0 40  
1 86 1 0 40  
1 87 1 0 40  
1 88 1 0 40  
1 89 1 0 40  
1 90 1 0 40  
1 80 1 0 41  
1 81 1 0 41  
1 82 1 0 41  
1 83 1 0 41  
1 84 1 0 41  
1 85 1 0 41  
1 86 1 0 41  
1 87 1 0 41  
1 88 1 0 41  
1 89 1 0 41  
1 90 1 0 41  
1 91 1 0 41  
1 93 1 0 44  
1 93 1 0 46  
1 94 1 0 46  
1 93 1 0 48  
1 94 1 0 48  
1 95 1 0 48  
1 93 1 0 50  
1 94 1 0 50  
1 95 1 0 50  
1 96 1 0 50  
1 93 1 0 52  
1 94 1 0 52  
1 95 1 0 52  
1 96 1 0 52  
1 97 1 0 52  
1 93 1 0 54  
1 94 1 0 54  
1 95 1 0 54  
1 96 1 0 54  
1 97 1 0 54  
1 98 1 0 54  
1 93 1 0 56  
1 94 1 0 56  
1 95 1 0 56  
1 96 1 0 56  
1 97 1 0 56  
1 98 1 0 56  
1 99 1 0 56  
1 93 1 0 57  
1 94 1 0 57  
1 95 1 0 57  
1 96 1 0 57  
1 97 1 0 57  
1 98 1 0 57  
1 99 1 0 57  
1 100 1 0 57  
1 93 1 0 58  
1 94 1 0 58  
1 95 1 0 58  
1 96 1 0 58  
1 97 1 0 58  
1 98 1 0 58  
1 99 1 0 58  
1 100 1 0 58  
1 101 1 0 58  
1 93 1 0 59  
1 94 1 0 59  
1 95 1 0 59  
1 96 1 0 59  
1 97 1 0 59  
1 98 1 0 59  
1 99 1 0 59  
1 100 1 0 59  
1 101 1 0 59  
1 102 1 0 59  
1 93 1 0 60  
1 94 1 0 60  
1 95 1 0 60  
1 96 1 0 60  
1 97 1 0 60  
1 98 1 0 60  
1 99 1 0 60  
1 100 1 0 60  
1 101 1 0 60  
1 102 1 0 60  
1 103 1 0 60  
1 93 1 0 61  
1 94 1 0 61  
1 95 1 0 61  
1 96 1 0 61  
1 97 1 0 61  
1 98 1 0 61  
1 99 1 0 61  
1 100 1 0 61  
1 101 1 0 61  
1 102 1 0 61  
1 103 1 0 61  
1 104 1 0 61  
3 3 2 22 42 0 0 
3 3 4 24 44 0 0 
3 3 6 26 46 0 0 
3 3 8 28 48 0 0 
3 3 10 30 50 0 0 
3 3 12 32 52 0 0 
3 3 14 34 54 0 0 
3 3 16 36 56 0 0 
3 3 17 37 57 0 0 
3 3 18 38 58 0 0 
3 3 19 39 59 0 0 
3 3 20 40 60 0 0 
3 3 21 41 61 0 0 
0
2 inpart(13,3)
3 inpart(26,3)
4 inpart(12,3)
5 inpart(24,3)
6 inpart(11,3)
7 inpart(22,3)
8 inpart(10,3)
9 inpart(20,3)
10 inpart(9,3)
11 inpart(18,3)
12 inpart(8,3)
13 inpart(16,3)
14 inpart(7,3)
15 inpart(14,3)
16 inpart(6,3)
17 inpart(5,3)
18 inpart(4,3)
19 inpart(3,3)
20 inpart(2,3)
21 inpart(1,3)
22 inpart(13,2)
23 inpart(26,2)
24 inpart(12,2)
25 inpart(24,2)
26 inpart(11,2)
27 inpart(22,2)
28 inpart(10,2)
29 inpart(20,2)
30 inpart(9,2)
31 inpart(18,2)
32 inpart(8,2)
33 inpart(16,2)
34 inpart(7,2)
35 inpart(14,2)
36 inpart(6,2)
37 inpart(5,2)
38 inpart(4,2)
39 inpart(3,2)
40 inpart(2,2)
41 inpart(1,2)
42 inpart(13,1)
43 inpart(26,1)
44 inpart(12,1)
45 inpart(24,1)
46 inpart(11,1)
47 inpart(22,1)
48 inpart(10,1)
49 inpart(20,1)
50 inpart(9,1)
51 inpart(18,1)
52 inpart(8,1)
53 inpart(16,1)
54 inpart(7,1)
55 inpart(14,1)
56 inpart(6,1)
57 inpart(5,1)
58 inpart(4,1)
59 inpart(3,1)
60 inpart(2,1)
61 inpart(1,1)
62 inpart(25,3)
63 inpart(23,3)
64 inpart(21,3)
65 inpart(19,3)
66 inpart(17,3)
67 inpart(15,3)
68 inpart(25,2)
69 inpart(23,2)
70 inpart(21,2)
71 inpart(19,2)
72 inpart(17,2)
73 inpart(15,2)
74 inpart(25,1)
75 inpart(23,1)
76 inpart(21,1)
77 inpart(19,1)
78 inpart(17,1)
79 inpart(15,1)
80 occupied(13,2)
81 occupied(12,2)
82 occupied(11,2)
83 occupied(10,2)
84 occupied(9,2)
85 occupied(8,2)
86 occupied(7,2)
87 occupied(6,2)
88 occupied(5,2)
89 occupied(4,2)
90 occupied(3,2)
91 occupied(2,2)
92 occupied(1,2)
93 occupied(13,1)
94 occupied(12,1)
95 occupied(11,1)
96 occupied(10,1)
97 occupied(9,1)
98 occupied(8,1)
99 occupied(7,1)
100 occupied(6,1)
101 occupied(5,1)
102 occupied(4,1)
103 occupied(3,1)
104 occupied(2,1)
105 occupied(1,1)
132 p
133 part(3)
134 part(2)
135 part(1)
136 number(13)
137 number(12)
138 number(11)
139 number(10)
140 number(9)
141 number(8)
142 number(7)
143 number(6)
144 number(5)
145 number(4)
146 number(3)
147 number(2)
148 number(1)
149 maxnumber(13)
150 occupied(13,3)
151 occupied(12,3)
152 occupied(11,3)
153 occupied(10,3)
154 occupied(9,3)
155 occupied(8,3)
156 occupied(7,3)
157 occupied(6,3)
158 occupied(5,3)
159 occupied(4,3)
160 occupied(3,3)
161 occupied(2,3)
0
B+
0
B-
1
0
1
